Tabel 1
org;source;;;;;
Saudi Aramco;Forbes (business);;;;;
Saudi National Bank ;Forbes (business);;;;;
International Holding Company;Forbes (business);;;;;
QNB Group;Forbes (business);;;;;
First Abu Dhabi Bank ;Forbes (business);;;;;
Emirates NBD;Forbes (business);;;;;
alrajhi bank;Forbes (business);;;;;
TAQA Group;Forbes (business);;;;;
Saudi Electricity Company;Forbes (business);;;;;
Kuwait Finance House;Forbes (business);;;;;
stc Group;Forbes (business);;;;;
ADNOC Gas;Forbes (business);;;;;
e&;Forbes (business);;;;;
ADCB Group;Forbes (business);;;;;
Alpha Dhabi Holding;Forbes (business);;;;;
National Bank of Kuwait;Forbes (business);;;;;
Riyad Bank;Forbes (business);;;;;
Dubai Electricity and Water Authority;Forbes (business);;;;;
Saudi Awwal Bank;Forbes (business);;;;;
Emaar Properties;Forbes (business);;;;;
Dubai Islamic Bank;Forbes (business);;;;;
Alinma Bank;Forbes (business);;;;;
Mashreq;Forbes (business);;;;;
Banque Saudi Fransi ;Forbes (business);;;;;
Saudi Arabian Mining Company ;Forbes (business);;;;;
arab national bank;Forbes (business);;;;;
Abu Dhabi Islamic Bank ;Forbes (business);;;;;
Attijariwafa bank group;Forbes (business);;;;;
Qatar Islamic Bank ;Forbes (business);;;;;
Aldar Properties;Forbes (business);;;;;
Ooredoo Group;Forbes (business);;;;;
Borouge;Forbes (business);;;;;
Industries Qatar;Forbes (business);;;;;
Zain Group;Forbes (business);;;;;
Bank Albilad;Forbes (business);;;;;
Arab Bank;Forbes (business);;;;;
Emaar Development;Forbes (business);;;;;
Commercial Bank;Forbes (business);;;;;
Almarai;Forbes (business);;;;;
Etihad Etisalat Company ;Forbes (business);;;;;
SABIC Agri-Nutrients Company;Forbes (business);;;;;
BCP Group;Forbes (business);;;;;
Masraf Al Rayan;Forbes (business);;;;;
ACWA Power;Forbes (business);;;;;
Commercial Bank of Dubai;Forbes (business);;;;;
AD Ports Group;Forbes (business);;;;;
Emirates Islamic;Forbes (business);;;;;
Bank Muscat;Forbes (business);;;;;
Commercial International Bank;Forbes (business);;;;;
Maroc Telecom;Forbes (business);;;;;
PureHealth Holding;Forbes (business);;;;;
Savola Group;Forbes (business);;;;;
Saudi Investment Bank;Forbes (business);;;;;
Bank Of Africa;Forbes (business);;;;;
NMDC Group;Forbes (business);;;;;
Omantel;Forbes (business);;;;;
Dr. Sulaiman Al Habib Medical Services Group ;Forbes (business);;;;;
Dukhan Bank;Forbes (business);;;;;
Emirates Integrated Telecommunications Company;Forbes (business);;;;;
Aluminium Bahrain;Forbes (business);;;;;
Boubyan Bank;Forbes (business);;;;;
Bank AlJazira;Forbes (business);;;;;
Agility;Forbes (business);;;;;
National Shipping Company of Saudi Arabia ;Forbes (business);;;;;
Fertiglobe;Forbes (business);;;;;
Bupa Arabia;Forbes (business);;;;;
National Bank of Ras Al Khaimah ;Forbes (business);;;;;
Sahara International Petrochemical Company;Forbes (business);;;;;
Kuwait Projects Company ;Forbes (business);;;;;
solutions by stc;Forbes (business);;;;;
Nakilat;Forbes (business);;;;;
Qatar Fuel;Forbes (business);;;;;
The Company for Cooperative Insurance;Forbes (business);;;;;
Qatar International Islamic Bank;Forbes (business);;;;;
Zain KSA;Forbes (business);;;;;
Gulf Bank;Forbes (business);;;;;
Saudi Aramco Base Oil Company;Forbes (business);;;;;
Kingdom Holding Company;Forbes (business);;;;;
Jordan Phosphate Mines Company ;Forbes (business);;;;;
Elm;Forbes (business);;;;;
Bank ABC;Forbes (business);;;;;
Al-Tijari;Forbes (business);;;;;
QEWC;Forbes (business);;;;;
Air Arabia;Forbes (business);;;;;
National Bank of Fujairah;Forbes (business);;;;;
Burgan Bank Group;Forbes (business);;;;;
QNB ALAHLI;Forbes (business);;;;;
Ahlibank;Forbes (business);;;;;
NBB Group;Forbes (business);;;;;
Marafiq;Forbes (business);;;;;
Doha Bank;Forbes (business);;;;;
Sharjah Islamic Bank;Forbes (business);;;;;
Americana Restaurants;Forbes (business);;;;;
Al Ahli Bank of Kuwait;Forbes (business);;;;;
Qatar Insurance Company;Forbes (business);;;;;
Dubai Investments;Forbes (business);;;;;
