the-middle-east-cities-by-population-2025
city;city_da;population;country;cca2;lat;lng;slug
Cairo;Kairo;23074200;Egypt;EG;30.0626;31.2497;
Istanbul;Istanbul;16236700;Turkey;TR;41.0138;28.9497;
Tehran;Teheran;9729740;Iran;IR;35.6944;51.4215;
Baghdad;Bagdad;8141120;Iraq;IQ;33.3406;44.4009;
Riyadh;Riyadh;7952860;Saudi Arabia;SA;24.6877;46.7219;
Alexandria;Alexandria;5807050;Egypt;EG;31.2018;29.9158;
Ankara;Ankara;5550490;Turkey;TR;39.9199;32.8543;
Sanaa;Sanaá;3527430;Yemen;YE;15.3547;44.2067;
Mashhad;Mashhad;3460660;Iran;IR;36.3156;59.568;
Kuwait City;Kuwait;3405000;Kuwait;KW;29.3697;47.9783;
Izmir;Izmir;3152090;Turkey;TR;38.4127;27.1384;
Dubai;Dubai;3094640;United Arab Emirates;AE;25.0657;55.1713;
Jeddah;Jidda;2867446;Saudi Arabia;SA;21.5424;39.198;
Damascus;Damaskus;2799960;Syria;SY;33.5102;36.2913;
Basrah;Basra;2600000;Iraq;IQ;30.5085;47.7804;
Giza;Giza;2443203;Egypt;EG;30.0081;31.2109;
Aleppo;Aleppo;2438480;Syria;SY;36.2012;37.1612;
Beirut;Beirut;2379330;Lebanon;LB;33.8933;35.5016;
Amman;Amman;2273240;Jordan;JO;31.9552;35.945;
Mecca;Mekka;2218580;Saudi Arabia;SA;21.4266;39.8256;
Bursa;Bursa;2142600;Turkey;TR;40.1956;29.0601;
Al Mawsil al Jadidah;Al Mawsil al Jadidah;2065597;Iraq;IQ;36.3327;43.1055;
Al Basrah al Qadimah;Al Basrah al Qadimah;2015483;Iraq;IQ;30.5032;47.8151;
Sharjah;Sharjah;1909930;United Arab Emirates;AE;25.3374;55.4121;
Mosul;Mosul;1904140;Iraq;IQ;36.335;43.1189;
Adana;Adana;1876820;Turkey;TR;37.0017;35.3289;
Gaziantep;Gaziantep;1858710;Turkey;TR;37.0594;37.3825;
Shiraz;Shiraz;1763900;Iran;IR;29.6103;52.5311;
Muscat;Muscat;1702510;Oman;OM;23.5841;58.4078;
Tabriz;Tabriz;1695670;Iran;IR;38.08;46.2919;
Medina;Medina;1624660;Saudi Arabia;SA;24.4686;39.6142;
Abu Dhabi;Abu Dhabi;1618740;United Arab Emirates;AE;24.4667;54.3667;
Karaj;Karaj;1614660;Iran;IR;35.8327;50.9916;
Homs;Homs;1563600;Syria;SY;34.7268;36.7234;
Isfahan;Isfahan;1547164;Iran;IR;32.6525;51.6746;
Konya;Konya;1450150;Turkey;TR;37.8713;32.4846;
Antalya;Antalya;1394590;Turkey;TR;36.9081;30.6956;
Qom;Qom;1392280;Iran;IR;34.6401;50.8764;
Ahvaz;Ahvaz;1324800;Iran;IR;31.319;48.6842;
Ra's Bayrut;Ras Beirut;1251739;Lebanon;LB;33.9;35.4833;
Aden;Aden;1154410;Yemen;YE;12.7794;45.0367;
Diyarbakir;Diyarbakir;1128360;Turkey;TR;37.9136;40.2172;
Kirkuk;Kirkuk;1128190;Iraq;IQ;35.4681;44.3922;
Kermanshah;Kermanshah;1117360;Iran;IR;34.3142;47.065;
Mersin;Mersin;1099040;Turkey;TR;36.812;34.6389;
Hamah;Hamah;1078650;Syria;SY;35.1318;36.7578;
Kayseri;Kayseri;1037250;Turkey;TR;38.7322;35.4853;
Najaf;Najaf;1017660;Iraq;IQ;32.0259;44.3462;
Sultanah;Sultanah;946697;Saudi Arabia;SA;24.4926;39.5857;
Erbil;Erbil;940560;Iraq;IQ;36.1833;44.0119;
Abu Ghurayb;Abu Ghurayb;900000;Iraq;IQ;33.3056;44.1848;
Eskisehir;Eskisehir;860518;Turkey;TR;39.7767;30.5206;
Orumiyeh;Orumiyeh;860169;Iran;IR;37.5527;45.076;
Ibb;Ibb;847350;Yemen;YE;13.9667;44.1833;
Gebze;Gebze;846841;Turkey;TR;40.8028;29.4307;
Gaza;Gaza;823407;Palestine;PS;31.5016;34.4667;
Cankaya;Çankaya;792189;Turkey;TR;39.9179;32.8627;
Dammam;Dammam;768602;Saudi Arabia;SA;26.4344;50.1033;
Kahriz;Kahriz;766706;Iran;IR;34.3838;47.0553;
Zarqa;Zarqa;758893;Jordan;JO;32.0728;36.088;
Rasht;Rasht;757765;Iran;IR;37.2761;49.5886;
Manama;Manama;743066;Bahrain;BH;26.2279;50.5857;
Buraydah;Buraydah;740579;Saudi Arabia;SA;26.326;43.975;
Bagcilar;Bağcılar;724270;Turkey;TR;41.039;28.8567;
As Sulaymaniyah;Sulaymaniyah;723170;Iraq;IQ;35.565;45.4329;
Samsun;Samsun;718641;Turkey;TR;41.2798;36.3361;
Denizli;Denizli;712016;Turkey;TR;37.7742;29.0875;
Nasiriyah;Nasiriyah;710858;Iraq;IQ;31.058;46.2573;
Tabuk;Tabuk;707148;Saudi Arabia;SA;28.3998;36.5715;
Bandar Abbas;Bandar Abbas;690978;Iran;IR;27.1865;56.2808;
Doha;Doha;673292;Qatar;QA;25.2854;51.531;
Zahedan;Zahedan;643702;Iran;IR;29.4963;60.8629;
Al Ahmadi;Al Ahmadi;637411;Kuwait;KW;29.0769;48.0839;
Sanliurfa;Şanlıurfa;622137;Turkey;TR;37.1671;38.7939;
Karbala;Karbala;618426;Iraq;IQ;32.616;44.0249;
Al Hudaydah;Al-Hudaydah;617871;Yemen;YE;14.7978;42.9545;
Ta`izz;Taiz;615222;Yemen;YE;13.5795;44.0209;
Ardabil;Ardabil;614154;Iran;IR;38.2498;48.2933;
Hamadan;Hamadan;611801;Iran;IR;34.7992;48.5146;
Yazd;Yazd;609302;Iran;IR;31.8972;54.3675;
Kahramanmaras;Kahramanmaraş;601640;Turkey;TR;37.5847;36.9264;
Arak;Arak;589740;Iran;IR;34.0949;49.6981;
UEskuedar;Üsküdarr;582666;Turkey;TR;41.0225;29.0237;
Van;Van;578392;Turkey;TR;38.4946;43.3832;
Bahcelievler;Bahçelievler;576799;Turkey;TR;41.0023;28.8598;
Umraniye;Ümraniye;573265;Turkey;TR;41.0164;29.1248;
Irbid;Irbid;567364;Jordan;JO;32.5556;35.85;
Kerman;Kerman;559142;Iran;IR;30.2832;57.0788;
Port Said;Port Said;538378;Egypt;EG;31.2565;32.2841;
Malatya;Malatya;532469;Turkey;TR;38.3502;38.3167;
Ta'if;Ta'if;530848;Saudi Arabia;SA;21.2703;40.4158;
Esenler;Esenler;520235;Turkey;TR;41.0435;28.8762;
Azadshahr;Azadshahr;514102;Iran;IR;34.7905;48.5701;
Zanjan;Zanjan;509683;Iran;IR;36.6764;48.4963;
Ramadi;Ramadi;503842;Iraq;IQ;33.4206;43.3078;
Asyut;Asyut;496967;Egypt;EG;27.181;31.1837;
Suez;Suez;488125;Egypt;EG;29.9737;32.5263;
Sanandaj;Sanandaj;482664;Iran;IR;35.3149;46.9988;
Batman;Batman;480040;Turkey;TR;37.8874;41.1322;
Erzurum;Erzurum;467875;Turkey;TR;39.9086;41.2769;
Salalah;Salalah;461680;Oman;OM;17.0151;54.0924;
Karabaglar;Karabağlar;458000;Turkey;TR;38.374;27.1352;
Elazig;Elazig;451906;Turkey;TR;38.6743;39.2232;
Muratpasa;Muratpasa;450000;Turkey;TR;36.8916;30.765;
Najran;Najran;449729;Saudi Arabia;SA;17.4933;44.1277;
Qazvin;Qazvin;444984;Iran;IR;36.2688;50.0041;
Dhamar;Dhamar;440006;Yemen;YE;14.5427;44.4051;
Sultangazi;Sultangazi;436935;Turkey;TR;41.1065;28.8685;
Ha'il;Ha'il;431270;Saudi Arabia;SA;27.5219;41.6907;
Al Mahallah al Kubra;Al Mahallah al Kubra;431052;Egypt;EG;30.9706;31.1669;
East Jerusalem;Østjerusalem;428304;Palestine;PS;31.7834;35.2339;
Maltepe;Maltepe;427040;Turkey;TR;40.9357;29.1551;
Al Kharj;Al Kharj;425300;Saudi Arabia;SA;24.1554;47.3346;
Ajman;Ajman;423929;United Arab Emirates;AE;25.4111;55.435;
Luxor;Luxor;422407;Egypt;EG;25.6989;32.6421;
Khorramabad;Khorramabad;420998;Iran;IR;33.4878;48.3558;
Al Mansurah;Al Mansurah;420195;Egypt;EG;31.0364;31.3807;
Manisa;Manisa;419194;Turkey;TR;38.612;27.4265;
Al Ain;Al Ain;408733;United Arab Emirates;AE;24.1917;55.7606;
Tanda;Tanda;404901;Egypt;EG;30.7885;31.0019;
Sivas;Sivas;401785;Turkey;TR;39.7483;37.0161;
Gorgan;Gorgan;391519;Iran;IR;36.8427;54.4439;
Khamis Mushait;Khamis Mushait;387553;Saudi Arabia;SA;18.3;42.7333;
Deir ez-Zor;Deir ez-Zor;378586;Syria;SY;35.3359;40.1408;
Aswan;Aswan;378578;Egypt;EG;24.0908;32.8994;
Izmit;Izmit;376464;Turkey;TR;40.7669;29.9169;
Abadan;Abadan;370180;Iran;IR;30.3392;48.3043;
Atasehir;Atasehir;361615;Turkey;TR;40.9833;29.1167;
Balikesir;Balikesir;354366;Turkey;TR;39.6492;27.8861;
Latakia;Latakia;340181;Syria;SY;35.5317;35.7901;
Sari;Sari;338115;Iran;IR;36.5633;53.0601;
